,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Ed Sheeran,0.08447053679686273,-0.045482302569973654,0.015848840274807766,-0.020615022277219962,0.073976229252697,-0.08504322007384289,-0.06577698438829624,0.11771586033186544,-0.07956379357203673,-0.02064218183480268
Maroon 5,0.031345322005378914,-0.028906019397495437,0.018092211825087048,-0.059261297961066314,0.016879916532530327,-0.08513065965725067,0.01685036108258506,0.05193460675945039,-0.01932504127343323,-0.0135135343555823
Zara Larsson,-0.01721357972647713,0.07818012510435177,0.04838710272613739,-0.04668557126976384,-0.07691017613615783,-0.08523694083526442,-0.0017510566608231683,-0.011629928788854563,0.0013803512890919235,-0.05700555829619373
The Chainsmokers,-0.07430787614538958,0.0074064156633877306,0.01652718341779238,-0.050996975144773644,-0.03291766824327208,-0.07747906270118703,-0.006941359101713326,-0.08999696263938622,-0.027421509944999384,-0.024000264397530773
Lewis Capaldi,-0.11194302796558965,-0.1506932610715624,0.02715121067847743,-0.06624802588123806,0.4042010148190974,-0.0852587136147988,-0.05518264013758737,-0.16586326692733905,-0.03551476509357874,-0.05131459971506173
Katy Perry,-0.011902934007615135,0.07407454340566996,0.033542174098947566,-0.04437257751434205,-0.10066728260475667,-0.08522365004187188,0.027115244409720407,0.010037877823237848,0.051147252934978946,-0.01169834475014116
Sam Feldt,0.010878899248393798,0.005120755863802971,0.027302011914162542,-0.060164610228342436,0.013592623268968566,-0.08475056056607165,-0.037122511423975164,-0.027043495610748494,-0.021338381136256655,-0.09123797811544439
Avicii,-0.05699409560058405,0.09469459814871754,0.035920675045871514,-0.06122353360184381,-0.09372801560540577,-0.012693842088342745,-0.007139889986403484,-0.0334839508951471,0.009619476171217146,-0.010416987141148576
Shawn Mendes,0.039350042670599696,0.009055783446602463,0.032955254736014114,0.004456552246309256,0.007858332877105407,-0.08525871361479877,-0.07998593494948802,0.17804139887440043,-0.01935080201419396,-0.05274806853085919
Ellie Goulding,-0.060545459782670515,0.07189331062610377,0.03960632117226948,-0.05769215909007714,-0.011076842802824503,-0.08068271193807175,-0.044233127802532864,-0.05165924021069877,0.010990930736373684,-0.002426730287693264
Loud Luxury,0.11409000986805855,0.08689593608555918,0.04499715298641919,-0.06600007484897329,-0.13552486426493046,-0.0852068142184205,0.06504398063120206,0.05846521320336111,0.006697997224846786,-0.09356028808791772
Martin Garrix,-0.09434152498215913,0.06882134446059622,0.025512310137488843,-0.05823528777472332,-0.11235268335337419,0.0997515504540866,0.07573107684213276,-0.2564735837957176,0.02918429288781193,-0.002845018976066564
AJ Mitchell,0.0435576260091233,0.015827943631324115,0.014322216373046185,-0.05650116417359204,-0.004449299766830766,-0.08522986496735857,-0.09137502873961453,-0.10214696304958205,0.018561280070004002,-0.07024133534057705
David Guetta,-0.03951213569746444,0.11312779938891002,0.0509693066839883,-0.03160415486481801,-0.10214339179373969,-0.013667571946607815,0.04236234499775922,-0.09812042114211182,0.029550941974717703,-0.01454650336735424
